gene,gene_effect,z_score,mean,stddev
SH3RF1,-0.8483377054269999,-5.174017555213605,0.018948116587866957,0.1676232855338779
NRAS,-1.55556455884,-5.107752841591423,-0.08604763726136103,0.2877032164932988
ADK,-0.660093099253,-4.9726242533099,-0.007233911566007402,0.13129067358194893
BIRC3,-0.6745384776019999,-4.847694137468142,-0.03007459231774888,0.13294235713081562
CTSC,-0.7944520574959999,-4.785604422736583,0.06721367228943315,0.18005368886981704
BHLHE40,-0.7722022597920001,-4.7215019521253625,-0.041090030934302114,0.1548473846396677
OR7C2,-0.989136257616,-4.674739631681855,-0.07461010877698543,0.19563146204786402
LEP,-0.660771079753,-4.664870622334153,-0.011612416473041147,0.13915898549725278
EMX1,-0.9059243908490001,-4.657427693987833,-0.07816982693625144,0.17772783997941144
ZNF268,-0.657671401508,-4.581852108703545,0.005731305391873371,0.1447892012140012
ELMO1,-0.38782353674900005,-4.560092677758339,0.07605471141217718,0.10172561852168574
TLR10,-0.747174258706,-4.507259617400927,-0.04609053173732123,0.1555454503357303
JOSD1,-0.5142195396989999,-4.500841131323621,0.08906260903900898,0.1340376456612664
EDIL3,-0.9532682538189999,-4.467920450017101,0.042253884493048975,0.2228155468408661
ACSM1,-0.638844026323,-4.460988353632869,0.10271663207188753,0.16623236816814083
MPDU1,-0.763046259853,-4.457503841834124,0.04749674134806164,0.18183786934607518
PHLPP1,-0.515233826218,-4.456681062947358,0.019214099825203123,0.11992061323090374
STEAP3,-0.5995958899399999,-4.399301387357745,0.06974958707435476,0.1521481294593387
CDADC1,-0.674695351074,-4.360620822465129,-0.002396509170242836,0.15417502903260824
OCRL,-0.7517197113449999,-4.29744666548745,-0.06360496784150554,0.1601217646351972
H2AC6,-1.27166714175,-4.287574618821966,-0.2116447390107639,0.24723124306358615
PHLPP2,-0.648426639745,-4.277185742701052,0.06817570932727791,0.16754061950551205
LPA,-0.426240507244,-4.2368874391363525,0.04497466587511245,0.11121729804914642
C8G,-0.54406588485,-4.186818738030368,0.004199531616123297,0.1309503589171494
PKHD1,-0.602424867394,-4.174241053717769,-0.004199846980591087,0.14331348207133426
PLSCR1,-0.40375637554399996,-4.117621193001019,0.07229089161135158,0.11561220540746173
EAF2,-0.693051878451,-4.099120425493682,-0.024229601872405315,0.16316238781836823
S100B,-0.832187874821,-4.092744793330577,-0.19265817577889766,0.15625936415196523
RBKS,-0.545842780467,-4.033911361458322,-0.021439025705969974,0.1299988293672992
CDK5RAP1,-0.995070706626,-4.018435910226783,-0.263371546365131,0.18208556179749424
KRT4,-0.726190287268,-4.015418711739154,-0.07219633321256338,0.1628706745185683
SLC1A3,-0.718778014791,-4.007689019380572,-0.12383365417039807,0.14845073002010434
CD14,-0.713059654514,-3.985974693899049,-0.04143745967304694,0.16849635193844584
EXT2,-0.7166711227089999,-3.9769049344212664,-0.008873719211901835,0.17797694819680152
DTNBP1,-0.5086464034679999,-3.976303914120579,0.12601565750429222,0.1596110545570955
OR8G5,-0.49996352898400004,-3.9673021432497455,0.032134674579857504,0.134120917528101
GJD2,-0.52343853757,-3.930381719958278,-0.025597225844222186,0.12666487562715983
SYNCRIP,-0.621418509568,-3.9178361287073655,-0.04069234258204189,0.14822625242816384
TRIB3,-0.530219671634,-3.9099933716699224,0.0830525452218609,0.15684738017699962
NAA25,-0.377209895628,-3.909809274918823,0.09770970377508097,0.12146873824502384
LCOR,-0.596411092125,-3.90931583905905,0.027322481257347757,0.15955057075472234
FGF19,-0.632906028233,-3.8774438622314054,-0.07491248250602588,0.14390757559694442
LRCH4,-0.634524652968,-3.8678270109523654,0.028105067326265235,0.17131834449108613
PREX1,-0.455289445419,-3.844755473845987,0.019080951863146147,0.12338116182135864
UCK1,-0.690832250027,-3.83704903125076,0.04121700755801399,0.19078444179963694
ERP44,-0.6920669141069999,-3.8270190054365374,-0.04929210481478355,0.16795704656264096
CDK20,-0.48873022873599997,-3.805655173387509,0.08012312517371402,0.14947580061578816
OBSCN,-0.426940897002,-3.7907080953203476,0.06414519444978788,0.12954996246164052
ESRRA,-0.535417801929,-3.775471489289847,-0.018755525335041698,0.13684708732660586
HECW1,-0.732712643484,-3.7608188438773595,-0.12378968120771662,0.1619123354658825
ACVR1B,-0.627613741085,-3.7433428622207914,-0.032453800656163274,0.15899156511561155
GHR,-0.395635128642,-3.7222178404658006,0.09340766603368322,0.1313847860700394
TOM1,-0.636138651711,-3.7079099722625104,0.06625706701992479,0.1894317078853815
CLK3,-0.526554717677,-3.7006557633708916,0.028638701439306784,0.15002568588292214
TMLHE,-0.539646589431,-3.681689689473445,-0.07171944138984962,0.127095759693988
GLS,-0.749468603246,-3.627914862406597,-0.005051517614851822,0.2051914429814748
GABRB3,-0.571391828792,-3.626584260096979,-0.051539694251014935,0.14334483835406148
PRSS41,-0.548979978258,-3.6127808958685037,0.0040600598100054034,0.15307876508659848
DNAJC6,-0.361073937192,-3.600422279483819,0.08567096491886288,0.12408125142890496
MBD1,-0.6041730107450001,-3.5994896512336947,-0.06304707183892157,0.15033407269850385
RABIF,-0.8528202695370001,-3.5944485518013765,-0.09211336861015985,0.21163382643093
MINK1,-0.43514806825900004,-3.5849471068608616,0.014880876685443429,0.12553293857060802
ABCG8,-0.46274451356299995,-3.5834347871953627,-0.013583791194942072,0.12534362951798023
IFITM1,-0.53252882956,-3.578821570142443,0.08889796234114059,0.17364005992520234
MBOAT2,-0.59467470846,-3.528442862480545,-0.07482224205305421,0.14733197806170006
UBXN6,-0.362491507293,-3.5244721748675003,0.058642200970284955,0.11948844745216838
GLT8D2,-0.548971787764,-3.5150847539234804,0.0468615751774382,0.16950753812589545
THOC6,-0.916410727553,-3.5081087096118893,-0.205565409326905,0.20262921621512053
CDKL4,-0.628353490017,-3.5069986123817296,-0.07891638538578158,0.15666875449890064
VIRMA,-0.45709971539099997,-3.4671693423024688,0.09377127930562053,0.1588820563147918
ZNF554,-0.39371293562299997,-3.4644976531460987,0.06172492898553011,0.13145855769160314
ID3,-0.7147070067669999,-3.4623516741661375,-0.1153960932930529,0.17309359934336632
GNG5,-0.57997100166,-3.4618265715099956,0.020780511464257134,0.17353599341697193
REV3L,-0.618113381856,-3.459177573962222,-0.04757440207946767,0.1649348631510188
DNAH11,-0.475640357321,-3.4499558304708735,0.08551812121375188,0.162656713914555
HMGB3P1,-0.591822775756,-3.449133285496503,-0.02532677696356254,0.1642430001689222
AGAP6,-0.556005893032,-3.443704370675232,-0.04055476474053977,0.14967926186718286
PITRM1,-0.549623683991,-3.4233104535354766,-0.056185194274703844,0.14414073640522143
ABCG4,-0.462292647174,-3.3709377486258014,0.04039786345325163,0.1491248276038852
STARD8,-0.5117436317849999,-3.3631073137479706,-0.009898462007000019,0.14922068282701487
CFAP251,-0.42381658796800004,-3.3599866082228123,0.057985101943737995,0.14339393161051198
RPE,-0.451907890201,-3.35134040303618,0.007281590463113614,0.1370166636155809
PLCL2,-0.5933909694,-3.3489721203618776,0.0778685147734015,0.20043746560089837
AQP3,-0.502192862347,-3.3436218997464584,0.012194310703371378,0.15384130995474596
RGS17,-0.563941127051,-3.3434037779585837,0.011444283272327884,0.1720956990347863
CBL,-0.48029764828599997,-3.339581125235427,0.009312336538779028,0.14660820218591442
CD86,-0.481456779675,-3.334779652173641,-0.04957668597680784,0.12950783522284257
EPS8L3,-0.356333872394,-3.3192348556501776,0.03251345370984611,0.11714968750762832
FST,-0.6772050240080001,-3.311151147527685,-0.17570246873621195,0.15145867190213944
RB1CC1,-0.7220262444660001,-3.285533910260095,-0.08909588540838027,0.1926415542634027
LYAR,-0.348001583854,-3.277368877494324,0.06342386513335142,0.12553528893638063
RIT2,-0.817591273216,-3.274788278458221,-0.18763803617027633,0.19236456939509608
