UniProt_ID	Count	Sources
P05771	3	Swiss, ChEMBL, MTPRC
P06493	3	Swiss, ChEMBL, MTPRC
P08183	3	Swiss, ChEMBL, MTPRC
P09874	3	Swiss, ChEMBL, MTPRC
P17252	3	Swiss, ChEMBL, MTPRC
P24723	3	Swiss, ChEMBL, MTPRC
P31749	3	Swiss, ChEMBL, MTPRC
P35354	3	Swiss, ChEMBL, MTPRC
P42574	3	Swiss, ChEMBL, MTPRC
P45983	3	Swiss, ChEMBL, MTPRC
P50579	3	Swiss, ChEMBL, MTPRC
P98170	3	Swiss, ChEMBL, MTPRC
Q02156	3	Swiss, ChEMBL, MTPRC
Q03181	3	Swiss, ChEMBL, MTPRC
Q04759	3	Swiss, ChEMBL, MTPRC
Q05655	3	Swiss, ChEMBL, MTPRC
Q9UGN5	3	Swiss, ChEMBL, MTPRC
B2RXH2	2	Swiss, MTPRC
O00311	2	Swiss, MTPRC
O14684	2	ChEMBL, MTPRC
O14746	2	Swiss, MTPRC
O14757	2	Swiss, MTPRC
O14965	2	ChEMBL, MTPRC
O43570	2	ChEMBL, MTPRC
O60502	2	Swiss, ChEMBL
O60760	2	ChEMBL, MTPRC
O60885	2	ChEMBL, MTPRC
O70536	2	ChEMBL, MTPRC
O75460	2	Swiss, MTPRC
O75907	2	ChEMBL, MTPRC
O95835	2	ChEMBL, MTPRC
P00338	2	Swiss, MTPRC
P00519	2	ChEMBL, MTPRC
P00533	2	ChEMBL, MTPRC
P00734	2	Swiss, MTPRC
P00742	2	ChEMBL, MTPRC
P00915	2	ChEMBL, MTPRC
P00918	2	ChEMBL, MTPRC
P01106	2	ChEMBL, MTPRC
P01116	2	ChEMBL, MTPRC
P01375	2	ChEMBL, MTPRC
P03372	2	ChEMBL, MTPRC
P03956	2	Swiss, MTPRC
P04049	2	ChEMBL, MTPRC
P04062	2	Swiss, MTPRC
P04150	2	ChEMBL, MTPRC
P04626	2	ChEMBL, MTPRC
P04629	2	ChEMBL, MTPRC
P04798	2	ChEMBL, MTPRC
P04818	2	Swiss, MTPRC
P05067	2	ChEMBL, MTPRC
P05129	2	Swiss, ChEMBL
P05164	2	Swiss, MTPRC
P05177	2	ChEMBL, MTPRC
P05412	2	Swiss, ChEMBL
P05979	2	ChEMBL, MTPRC
P06239	2	ChEMBL, MTPRC
P06401	2	ChEMBL, MTPRC
P07333	2	ChEMBL, MTPRC
P07451	2	Swiss, ChEMBL
P07477	2	Swiss, MTPRC
P07711	2	ChEMBL, MTPRC
P07858	2	ChEMBL, MTPRC
P07900	2	ChEMBL, MTPRC
P07948	2	ChEMBL, MTPRC
P07949	2	ChEMBL, MTPRC
P08172	2	Swiss, MTPRC
P08235	2	ChEMBL, MTPRC
P08238	2	ChEMBL, MTPRC
P08581	2	ChEMBL, MTPRC
P08631	2	ChEMBL, MTPRC
P08684	2	ChEMBL, MTPRC
P08842	2	ChEMBL, MTPRC
P08908	2	ChEMBL, MTPRC
P08922	2	ChEMBL, MTPRC
P09237	2	Swiss, MTPRC
P09581	2	ChEMBL, MTPRC
P0DMS8	2	Swiss, MTPRC
P0DTD1	2	ChEMBL, MTPRC
P10253	2	Swiss, MTPRC
P10275	2	ChEMBL, MTPRC
P10619	2	ChEMBL, MTPRC
P10635	2	ChEMBL, MTPRC
P10721	2	ChEMBL, MTPRC
P10827	2	ChEMBL, MTPRC
P10828	2	ChEMBL, MTPRC
P11362	2	ChEMBL, MTPRC
P11509	2	ChEMBL, MTPRC
P11712	2	ChEMBL, MTPRC
P11802	2	ChEMBL, MTPRC
P12268	2	Swiss, MTPRC
P12931	2	ChEMBL, MTPRC
P13569	2	Swiss, ChEMBL
P13866	2	Swiss, MTPRC
P14625	2	ChEMBL, MTPRC
P15056	2	ChEMBL, MTPRC
P15121	2	ChEMBL, MTPRC
P15144	2	ChEMBL, MTPRC
P15207	2	ChEMBL, MTPRC
P17612	2	Swiss, ChEMBL
P19099	2	Swiss, MTPRC
P19634	2	ChEMBL, MTPRC
P19793	2	ChEMBL, MTPRC
P21802	2	ChEMBL, MTPRC
P21964	2	Swiss, ChEMBL
P21980	2	ChEMBL, MTPRC
P22455	2	ChEMBL, MTPRC
P22607	2	ChEMBL, MTPRC
P22748	2	ChEMBL, MTPRC
P22894	2	Swiss, MTPRC
P23219	2	ChEMBL, MTPRC
P23280	2	ChEMBL, MTPRC
P23443	2	ChEMBL, MTPRC
P24941	2	ChEMBL, MTPRC
P25025	2	ChEMBL, MTPRC
P25103	2	Swiss, MTPRC
P25106	2	ChEMBL, MTPRC
P25440	2	ChEMBL, MTPRC
P25774	2	ChEMBL, MTPRC
P27958	2	ChEMBL, MTPRC
P28221	2	ChEMBL, MTPRC
P28222	2	ChEMBL, MTPRC
P28223	2	ChEMBL, MTPRC
P28335	2	ChEMBL, MTPRC
P28482	2	ChEMBL, MTPRC
P29274	2	Swiss, MTPRC
P29275	2	Swiss, MTPRC
P29475	2	Swiss, MTPRC
P30530	2	ChEMBL, MTPRC
P30542	2	Swiss, MTPRC
P31639	2	Swiss, MTPRC
P31645	2	Swiss, MTPRC
P31751	2	ChEMBL, MTPRC
P32246	2	ChEMBL, MTPRC
