"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Monoglyceride lipase","MGLL","Q99685","CHEMBL4191","Enzyme","0.0535560755162","0 /  6     "
"Peroxisome proliferator-activated receptor delta   (by homology)","PPARD","Q03181","CHEMBL3979","Nuclear receptor","0.0535560755162","0 /  2     "
"Adenosylhomocysteinase","AHCY","P23526","CHEMBL2664","Enzyme","0.0535560755162","101 /  0     "
"Protein kinase C gamma","PRKCG","P05129","CHEMBL2938","Kinase","0.0535560755162","0 /  9     "
"Protein kinase C delta","PRKCD","Q05655","CHEMBL2996","Kinase","0.0535560755162","0 /  23     "
"Protein kinase C beta","PRKCB","P05771","CHEMBL3045","Kinase","0.0535560755162","0 /  8     "
"Protein kinase C epsilon","PRKCE","Q02156","CHEMBL3582","Kinase","0.0535560755162","0 /  9     "
"Protein kinase C eta","PRKCH","P24723","CHEMBL3616","Kinase","0.0535560755162","0 /  9     "
"Protein kinase C theta","PRKCQ","Q04759","CHEMBL3920","Kinase","0.0535560755162","0 /  10     "
"Sodium/glucose cotransporter 2","SLC5A2","P31639","CHEMBL3884","Electrochemical transporter","0.0535560755162","47 /  130     "
"Thymidine kinase, cytosolic","TK1","P04183","CHEMBL2883","Transferase","0.0535560755162","14 /  0     "
"Adenosine kinase","ADK","P55263","CHEMBL3589","Enzyme","0.0535560755162","40 /  0     "
"Adenosine A2a receptor","ADORA2A","P29274","CHEMBL251","Family A G protein-coupled receptor","0.0535560755162","141 /  0     "
"Trypsin I","PRSS1","P07477","CHEMBL209","Protease","0.0535560755162","0 /  11     "
"Cytidine deaminase","CDA","P32320","CHEMBL4502","Enzyme","0.0535560755162","21 /  0     "
"Purine nucleoside phosphorylase","PNP","P00491","CHEMBL4338","Enzyme","0.0535560755162","14 /  0     "
"Caspase-3","CASP3","P42574","CHEMBL2334","Protease","0.0535560755162","36 /  0     "
"Adenosine A1 receptor   (by homology)","ADORA1","P30542","CHEMBL226","Family A G protein-coupled receptor","0.0535560755162","167 /  0     "
"P-glycoprotein 1","ABCB1","P08183","CHEMBL4302","Primary active transporter","0.0535560755162","0 /  76     "
"Adenosine A2b receptor","ADORA2B","P29275","CHEMBL255","Family A G protein-coupled receptor","0.0535560755162","10 /  0     "
"Adenosine A3 receptor","ADORA3","P0DMS8","CHEMBL256","Family A G protein-coupled receptor","0.0535560755162","112 /  0     "
"Lysosomal alpha-glucosidase","GAA","P10253","CHEMBL2608","Hydrolase","0.0535560755162","3 /  0     "
"Glutathione S-transferase Pi","GSTP1","P09211","CHEMBL3902","Enzyme","0.0535560755162","1 /  0     "
"Glutathione S-transferase Mu 2","GSTM2","P28161","CHEMBL4589","Enzyme","0.0535560755162","1 /  0     "
"Beta-glucocerebrosidase","GBA","P04062","CHEMBL2179","Enzyme","0.0535560755162","3 /  0     "
"Methionine aminopeptidase 1","METAP1","P53582","CHEMBL2474","Protease","0.0535560755162","2 /  0     "
"Glutathione reductase","GSR","P00390","CHEMBL2755","Oxidoreductase","0.0535560755162","3 /  0     "
"cAMP-dependent protein kinase alpha-catalytic subunit","PRKACA","P17612","CHEMBL4101","Kinase","0.0535560755162","1 /  0     "
"Serine/threonine-protein kinase AKT","AKT1","P31749","CHEMBL4282","Kinase","0.0535560755162","1 /  0     "
"Matrix metalloproteinase 8","MMP8","P22894","CHEMBL4588","Protease","0.0535560755162","3 /  0     "
"Thymidine phosphorylase","TYMP","P19971","CHEMBL3106","Enzyme","0.0535560755162","8 /  0     "
"Alpha-L-fucosidase I","FUCA1","P04066","CHEMBL4176","Enzyme","0.0535560755162","14 /  0     "
"Bifunctional protein NCOAT","OGA","O60502","CHEMBL5921","Enzyme","0.0535560755162","14 /  0     "
"Hypoxanthine-guanine phosphoribosyltransferase","HPRT1","P00492","CHEMBL2360","Enzyme","0.0535560755162","20 /  0     "
"Telomerase reverse transcriptase","TERT","O14746","CHEMBL2916","Enzyme","0.0535560755162","1 /  0     "
"ADAM17","ADAM17","P78536","CHEMBL3706","Protease","0.0","7 /  0     "
"Kappa Opioid receptor","OPRK1","P41145","CHEMBL237","Family A G protein-coupled receptor","0.0","0 /  40     "
"Nitric-oxide synthase, brain","NOS1","P29475","CHEMBL3568","Enzyme","0.0","5 /  0     "
"c-Jun N-terminal kinase 1","MAPK8","P45983","CHEMBL2276","Kinase","0.0","4 /  0     "
"Methionine aminopeptidase 2","METAP2","P50579","CHEMBL3922","Protease","0.0","9 /  0     "
"Cyclin-dependent kinase 2/cyclin A","CDK2 CCNA1 CCNA2","P24941 P78396 P20248","CHEMBL2094128","Other cytosolic protein","0.0","4 /  0     "
"Adenosine deaminase   (by homology)","ADA","P00813","CHEMBL1910","Hydrolase","0.0","7 /  0     "
"Estradiol 17-beta-dehydrogenase 3","HSD17B3","P37058","CHEMBL4234","Enzyme","0.0","0 /  7     "
"Thymidylate synthase   (by homology)","TYMS","P04818","CHEMBL1952","Transferase","0.0","6 /  0     "
"Cyclin-dependent kinase 1","CDK1","P06493","CHEMBL308","Kinase","0.0","3 /  0     "
"Serotonin transporter","SLC6A4","P31645","CHEMBL228","Electrochemical transporter","0.0","0 /  114     "
"Cyclooxygenase-2","PTGS2","P35354","CHEMBL230","Oxidoreductase","0.0","9 /  16     "
"Interleukin-1 receptor-associated kinase 4","IRAK4","Q9NWZ3","CHEMBL3778","Kinase","0.0","9 /  0     "
"D-amino-acid oxidase","DAO","P14920","CHEMBL5485","Enzyme","0.0","31 /  0     "
"Adenosylhomocysteinase 2","AHCYL1","O43865","CHEMBL3751646","Enzyme","0.0","3 /  0     "
"Prostanoid FP receptor","PTGFR","P43088","CHEMBL1987","Family A G protein-coupled receptor","0.0","0 /  14     "
"Sodium/glucose cotransporter 1","SLC5A1","P13866","CHEMBL4979","Electrochemical transporter","0.0","28 /  47     "
