Gene name,A549_Expr,BJ_Expr,HL-60_Expr,HeLa_Expr,Jurkat_Expr,K562_Expr,MCF-7_Expr,MDA-MB-231_Expr,Raji_Expr,WI-38_Expr,A549_RNAi,HL-60_RNAi,HeLa_RNAi,K562_RNAi,MCF-7_RNAi,MDA-MB-231_RNAi,Log2FC_HL60_vs_BJ,Delta_RNAi_HL60_vs_MCF7
ACLY,7.5135303,5.3867006,4.897434,6.974139,6.1319413,6.45963,6.1091745,6.4483094,6.5600195,6.072046,-0.376119202536,-0.689950223375,0.0251330723059,-0.553868330038,-0.83051024345,-0.113067566616,-0.48926660000000055,0.14056002007500001
ADK,4.5004387,4.3890986,5.1168303,5.0747237,4.3341894,5.1473923,5.8277252,5.5604887,4.7508636,3.858916,0.0872890044994,-0.660093099253,-0.241626760502,0.0387576085196,0.00614714800106,0.0459761481949,0.7277317000000005,-0.66624024725406
AKR1B1,10.813749,6.873149,2.016368,7.7591157,7.3928585,3.5909972,0.341887845,7.953131,7.472382,8.158251,-0.132822060476,0.0364297401374,-0.331619938056,-0.0144241047554,0.0152315249309,-0.123862774018,-4.856781,0.021198215206500004
AKR1C3,11.2638035,1.9756815,0.5674812,8.593417,2.867679,3.9539635,1.30289805,6.3163013,0.5711467,1.8867764,-0.228461293506,0.440439821586,0.0195758546028,-0.0164610367991,0.114771999394,-0.132027049415,-1.4082003,0.32566782219199997
AKT1,5.876598,6.348349,6.0300956,5.543663,6.8755713,5.947748,7.5114325,6.981453,6.3355656,6.3585916,-0.0379104186228,-0.00120664614797,0.024796971364,0.0230821619871,-0.149789159479,-0.00673812623665,-0.3182533999999997,0.14858251333103
CYP19A1,0.036892924,0.9401803,0.006513469,0.0,0.23239675,0.5092651,0.7093078500000001,0.39967534,0.09920631,0.025309509,-0.0115547821286,0.0105135512528,0.111639483953,0.02124053655,-0.146242404894,0.0789848627726,-0.9336668309999999,0.1567559561468
CYP1A1,0.5554952,0.22029899,0.083627306,0.6229528,1.1393057,0.3215645,1.89756565,2.8499572,0.1378799,0.0,-0.108546081628,0.467949835908,-0.151746129214,-0.0937657044738,-0.0860233413236,-0.14065294545,-0.13667168400000002,0.5539731772316
CYP1A2,0.0,0.0,0.0,0.0,0.011611565,0.0,0.008360671,0.022323778,0.006655646,0.0,-0.281450289771,-0.218198739153,-0.0456395480748,-0.150356065054,-0.08891805452,0.058679083798,0.0,-0.12928068463300002
EZH2,4.6158986,0.92827255,5.39593,5.2388325,7.009974,6.8719916,5.301304099999999,6.120682,6.094314,1.3607013,-0.0384621131035,0.101862857204,-0.151829930087,-0.438159087526,-0.0149372866895,0.0917073367053,4.46765745,0.11680014389349999
HARS2,5.2328067,3.6398687,4.65232,5.2960095,5.0681763,4.585726,5.68520855,4.4226704,4.479509,3.7586443,-0.427444556542,-0.596946417776,-0.0492026824088,-0.184304699609,0.100880954804,-0.525954487207,1.0124512999999995,-0.6978273725799999
HDAC7,4.7531123,5.4023504,2.8016615,5.356221,6.039318,5.873348,3.4376565,4.710845,6.255059,4.404426,-0.159125069643,0.134742317857,-0.117974000244,-0.123116388365,-0.0124974439382,-0.0192993307308,-2.6006889000000006,0.14723976179519999
HSD11B1,0.0,0.051547512,0.0,0.08478135,0.0,0.35356495,0.0,0.7113689,0.0,5.6677246,-0.144175045333,0.0928916137407,0.0240465078638,0.00980632986012,-0.155538531409,-0.0144590312011,-0.051547512,0.24843014514970002
KARS1,7.419573,6.22026,7.1529846,7.0409474,7.553184,7.2839494,7.24842095,6.515949,7.4323916,7.1031933,,,,,,,0.9327246000000002,
KIF11,5.262042,2.0230744,4.118044,5.0262423,4.869121,4.7094398,4.509341,5.467684,5.290863,1.3514079,-1.45816321036,-1.04892422992,-1.44488398802,-1.31165722252,-1.97129158824,-1.30521352401,2.0949696,0.92236735832
NAMPT,8.034061,5.9763293,4.622099,5.384361,5.8906803,7.3361583,5.8872801500000005,8.2887,6.289248,8.055125,-0.157002064016,0.0418967339537,-0.0567803586482,-0.175704637047,-0.157918400393,-0.156922673649,-1.3542302999999993,0.1998151343467
PGR,0.002208518,0.041048087,0.012977647,0.0,0.003481347,1.1816496,2.7383961,0.006504852,0.0,0.0,-0.388495477128,-0.408998577111,-0.720143401078,0.143578520909,0.0814876019279,-0.285458775274,-0.028070439999999995,-0.4904861790389
PNP,6.7792335,2.9956346,7.6889915,6.954068,6.368309,6.3031507,6.6395155,6.241453,8.16794,2.7012475,0.0301624483491,-0.132376446743,0.0694824800158,0.0566743739182,0.0305541877122,5.02066420122e-05,4.6933569,-0.1629306344552
RAD51,4.0844812,1.3781176,5.266502,4.6439314,5.8327155,5.9294243,4.13001655,4.314508,5.3504515,0.5782412,-1.26015185362,-0.522636783605,-0.913802946583,-0.318923372013,-1.24425062201,-0.815647167528,3.8883844,0.721613838405
RFC4,5.7066464,2.8087826,5.9660473,6.392659,7.376247,7.1958494,5.2615423,6.4564414,6.4153295,3.1454883,-0.982053210656,-0.805835734637,-0.895058347531,-0.890808581742,-0.834552658623,-0.899438506151,3.1572647,0.02871692398600001
TOP2A,7.463712,3.0212772,6.34395,7.1274886,7.2128415,7.261023,5.879470550000001,7.717231,6.9853067,1.222953,-0.437306090009,-0.546130724496,-0.748774756196,-0.206959374349,-0.304423729592,-0.688189575347,3.3226728000000003,-0.241706994904
WARS1,6.74634,7.8121514,6.464082,6.271198,6.491029,9.836674,7.55278035,6.7457347,8.146625,9.790989,,,,,,,-1.3480694,
