"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"33","10","KEGG Pathways","","Nicotinate and nicotinamide metabolism","1.74E-23","NAMPT|NT5C|BST1|NT5C2|PNP|NMRK1|NT5M|NAPRT|NT5C1B-RDH14|NNMT","3389","3478|3730|3760|3748|3481|3772|3742|3754|3736|3766","5.18E-26","","hsa00760","2.27594507517174","0"
"493","11","GO Biological Process","","Nucleotide metabolic process","5.05E-13","NAMPT|NT5C|NT5C2|PNP|NMRK1|NT5M|NT5C3B|NAPRT|NT5C1B-RDH14|NNMT|ADK","3389","3478|3730|3748|3481|3772|3742|3787|3754|3736|3766|3508","3.22E-17","","GO:0009117","1.2296708621881338","0"
"1435","12","KEGG Pathways","","Metabolic pathways","3.94E-12","NAMPT|NT5C|BST1|NT5C2|PNP|NMRK1|NT5M|NT5C3B|NAPRT|NT5C1B-RDH14|NNMT|ADK","3389","3478|3730|3760|3748|3481|3772|3742|3787|3754|3736|3766|3508","2.35E-14","","hsa01100","1.1404503778174426","0"
"58","7","STRING Clusters","","Pyrimidine metabolism, and Purine nucleoside monophosphate biosynthetic process","1.09E-11","NT5C|NT5C2|PNP|NT5M|NT5C3B|NT5C1B-RDH14|ADK","3389","3730|3748|3481|3742|3787|3736|3508","2.38E-15","","CL:10566","1.0962573502059376","0"
"127","7","KEGG Pathways","","Purine metabolism","4.94E-11","NT5C|NT5C2|PNP|NT5M|NT5C3B|NT5C1B-RDH14|ADK","3389","3730|3748|3481|3742|3787|3736|3508","4.41E-13","","hsa00230","1.0306273051076353","0"
"55","6","KEGG Pathways","","Pyrimidine metabolism","5.22E-11","NT5C|NT5C2|PNP|NT5M|NT5C3B|NT5C1B-RDH14","3389","3730|3748|3481|3742|3787|3736","6.21E-13","","hsa00240","1.0282329496997737","0"
"13","5","STRING Clusters","","5-nucleotidase activity, and Deoxyguanosine kinase activity","2.5E-10","NT5C|NT5C2|NT5M|NT5C3B|NT5C1B-RDH14","3389","3730|3748|3742|3787|3736","2.73E-13","","CL:10629","0.9602059991327963","0"
"14","5","GO Molecular Function","","5-nucleotidase activity","1.83E-9","NT5C|NT5C2|NT5M|NT5C3B|NT5C1B-RDH14","3389","3730|3748|3742|3787|3736","3.7E-13","","GO:0008253","0.873754891026957","0"
"33","5","STRING Clusters","","Nicotinate and nicotinamide metabolism, and Vitamin B6 metabolism","9.08E-9","NAMPT|BST1|NMRK1|NAPRT|NNMT","3389","3478|3760|3772|3754|3766","1.59E-11","","CL:10906","0.8041914151478915","0"
"24","5","GO Biological Process","","Deoxyribonucleoside monophosphate metabolic process","1.18E-8","NT5C|NT5C2|PNP|NT5M|ADK","3389","3730|3748|3481|3742|3508","3.77E-12","","GO:0009162","0.7928117992693875","0"
