"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"43","9","GO Molecular Function","","aminoacyl-tRNA ligase activity","3.21E-18","WARS2|MARS2|KARS1|TARS3|WARS1|GARS1|SARS2-2|SARS2|HARS2","1048","1394|1427|1137|1397|1167|1406|1415|1421|1140","6.51E-22","","GO:0004812","1.749349496759513","0"
"43","9","GO Biological Process","","tRNA aminoacylation for protein translation","1.02E-17","WARS2|MARS2|KARS1|TARS3|WARS1|GARS1|SARS2-2|SARS2|HARS2","1048","1394|1427|1137|1397|1167|1406|1415|1421|1140","6.51E-22","","GO:0006418","1.6991399828238083","0"
"38","8","UniProt Keywords","","Aminoacyl-tRNA synthetase","1.53E-16","WARS2|MARS2|KARS1|TARS3|WARS1|GARS1|SARS2|HARS2","1048","1394|1427|1137|1397|1167|1406|1421|1140","2.27E-19","","KW-0030","1.58153085691824","0"
"44","8","KEGG Pathways","","Aminoacyl-tRNA biosynthesis","2.2E-16","WARS2|MARS2|KARS1|TARS3|WARS1|GARS1|SARS2-2|HARS2","1048","1394|1427|1137|1397|1167|1406|1415|1140","6.55E-19","","hsa00970","1.5657577319177793","0"
"32","8","STRING Clusters","","tRNA Aminoacylation","3.07E-16","WARS2|MARS2|KARS1|TARS3|WARS1|GARS1|SARS2|HARS2","1048","1394|1427|1137|1397|1167|1406|1421|1140","6.71E-20","","CL:799","1.5512861624522813","0"
"199","10","GO Biological Process","","tRNA metabolic process","3.68E-15","WARS2|MARS2|ADAT1|KARS1|TARS3|WARS1|GARS1|SARS2-2|SARS2|HARS2","1048","1394|1427|1463|1137|1397|1167|1406|1415|1421|1140","9.37E-19","","GO:0006399","1.4434152181326483","0"
"42","7","Reactome Pathways","","tRNA Aminoacylation","6.72E-13","WARS2|MARS2|KARS1|WARS1|GARS1|SARS2|HARS2","1048","1394|1427|1137|1167|1406|1421|1140","2.94E-16","","HSA-379724","1.2172630726946174","0"
"128","8","UniProt Keywords","","Protein biosynthesis","6.78E-13","WARS2|MARS2|KARS1|TARS3|WARS1|GARS1|SARS2|HARS2","1048","1394|1427|1137|1397|1167|1406|1421|1140","2.02E-15","","KW-0648","1.2168770306132937","0"
"20","6","STRING Clusters","","Aminoacyl-tRNA synthetase","2.97E-12","WARS2|MARS2|TARS3|WARS1|GARS1|HARS2","1048","1394|1427|1397|1167|1406|1140","2.6E-15","","CL:801","1.1527243550682786","0"
"21","6","Reactome Pathways","","Mitochondrial tRNA aminoacylation","3.81E-12","WARS2|MARS2|KARS1|GARS1|SARS2|HARS2","1048","1394|1427|1137|1406|1421|1140","3.34E-15","","HSA-379726","1.141907502432438","0"
"19","6","InterPro Domains","","Aminoacyl-tRNA synthetase, class II","1.44E-11","KARS1|TARS3|GARS1|SARS2-2|SARS2|HARS2","1048","1137|1397|1406|1415|1421|1140","2.0E-15","","IPR006195","1.084163750790475","0"
"27","6","InterPro Domains","","Class II Aminoacyl-tRNA synthetase/Biotinyl protein ligase (BPL) and lipoyl protein ligase (LPL)","4.48E-11","KARS1|TARS3|GARS1|SARS2-2|SARS2|HARS2","1048","1137|1397|1406|1415|1421|1140","1.25E-14","","IPR045864","1.0348721986001856","0"
"9","4","GO Biological Process","","tRNA aminoacylation for mitochondrial protein translation","7.33E-8","WARS2|GARS1|SARS2-2|SARS2","1048","1394|1406|1415|1421","5.61E-11","","GO:0070127","0.7134896025358872","0"
"9","4","Pfam","","tRNA synthetase class II core domain (G, H, P, S and T)","1.3E-7","TARS3|GARS1|SARS2-2|SARS2","1048","1397|1406|1415|1421","5.61E-11","","PF00587","0.6886056647693163","0"
"9","4","InterPro Domains","","Aminoacyl-tRNA synthetase, class II (G/ P/ S/T)","1.34E-7","TARS3|GARS1|SARS2-2|SARS2","1048","1397|1406|1415|1421","5.61E-11","","IPR002314","0.6872895201635193","0"
"2101","10","GO Biological Process","","Gene expression","8.22E-6","WARS2|MARS2|ADAT1|KARS1|TARS3|WARS1|GARS1|SARS2-2|SARS2|HARS2","1048","1394|1427|1463|1137|1397|1167|1406|1415|1421|1140","1.05E-8","","GO:0010467","0.5085128182459949","0"
