"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"7988","52","GO Biological Process","","Metabolic process","1.64E-7","HDAC7|CDK5RAP1|NAMPT|PRSS16|MMP8|CDADC1|ABCB7|PSMB7|DCPS|THRA|CAD|HPX|AKR1B1|PSMB4|TLR3|EZH2|METAP2|KARS1|TMLHE|CYP1A2|WARS1|NTRK3|PNP|HSD11B1|SOAT1|PI4KB|IRAK1|UCK1|ALOX5|EIF2S2|PLA2G2D|AKR1C3|PITRM1|IDI1|RFC4|PRKAR1A|CDKL4|CYP1A1|CYP19A1|THRB|KDM4E|EBNA1BP2|TOP2A|ADK|SNW1|AKT1|ACLY|CPSF1|RAD51|HARS2|MED19|NR1H2","128","217|400|247|436|454|457|478|256|487|274|499|463|283|259|292|220|484|316|490|331|325|496|250|352|472|418|295|475|358|481|361|286|442|466|373|403|448|337|310|277|430|460|268|346|439|301|394|433|379|319|415|412","1.04E-11","","GO:0008152","1.0","0"
"7156","49","GO Biological Process","","Primary metabolic process","1.91E-7","HDAC7|CDK5RAP1|NAMPT|PRSS16|MMP8|CDADC1|PSMB7|DCPS|THRA|CAD|HPX|AKR1B1|PSMB4|TLR3|EZH2|METAP2|KARS1|CYP1A2|WARS1|NTRK3|PNP|HSD11B1|SOAT1|PI4KB|IRAK1|UCK1|ALOX5|EIF2S2|PLA2G2D|AKR1C3|PITRM1|IDI1|RFC4|CDKL4|CYP1A1|CYP19A1|THRB|KDM4E|EBNA1BP2|TOP2A|ADK|SNW1|AKT1|ACLY|CPSF1|RAD51|HARS2|MED19|NR1H2","128","217|400|247|436|454|457|256|487|274|499|463|283|259|292|220|484|316|331|325|496|250|352|472|418|295|475|358|481|361|286|442|466|373|448|337|310|277|430|460|268|346|439|301|394|433|379|319|415|412","2.44E-11","","GO:0044238","0.9902449527000223","0"
"7522","50","GO Biological Process","","Organic substance metabolic process","1.91E-7","HDAC7|CDK5RAP1|NAMPT|PRSS16|MMP8|CDADC1|PSMB7|DCPS|THRA|CAD|HPX|AKR1B1|PSMB4|TLR3|EZH2|METAP2|KARS1|TMLHE|CYP1A2|WARS1|NTRK3|PNP|HSD11B1|SOAT1|PI4KB|IRAK1|UCK1|ALOX5|EIF2S2|PLA2G2D|AKR1C3|PITRM1|IDI1|RFC4|CDKL4|CYP1A1|CYP19A1|THRB|KDM4E|EBNA1BP2|TOP2A|ADK|SNW1|AKT1|ACLY|CPSF1|RAD51|HARS2|MED19|NR1H2","128","217|400|247|436|454|457|256|487|274|499|463|283|259|292|220|484|316|490|331|325|496|250|352|472|418|295|475|358|481|361|286|442|466|373|448|337|310|277|430|460|268|346|439|301|394|433|379|319|415|412","3.19E-11","","GO:0071704","0.9902449527000223","0"
"2092","26","Reactome Pathways","","Metabolism","8.09E-7","NAMPT|ABCB7|PSMB7|CAD|AKR1B1|PSMB4|KARS1|TMLHE|CYP1A2|PNP|HSD11B1|PI4KB|UCK1|ALOX5|PLA2G2D|AKR1C3|IDI1|SEC13|PRKAR1A|CYP1A1|CYP19A1|ADK|AKT1|ACLY|MED19|NR1H2","128","247|478|256|499|283|259|316|490|331|250|352|418|475|358|361|286|466|427|403|337|310|346|301|394|415|412","3.54E-10","","HSA-1430728","0.8978498566513983","0"
"3181","32","GO Biological Process","","Organic cyclic compound metabolic process","9.33E-7","CDK5RAP1|NAMPT|CDADC1|DCPS|THRA|CAD|HPX|AKR1B1|EZH2|KARS1|CYP1A2|WARS1|PNP|HSD11B1|SOAT1|UCK1|ALOX5|AKR1C3|IDI1|RFC4|CYP1A1|CYP19A1|THRB|EBNA1BP2|TOP2A|ADK|SNW1|ACLY|CPSF1|RAD51|HARS2|MED19","128","400|247|457|487|274|499|463|283|220|316|331|325|250|352|472|475|358|286|466|373|337|310|277|460|268|346|439|394|433|379|319|415","2.38E-10","","GO:1901360","0.8887221194634476","0"
"6568","45","GO Biological Process","","Cellular metabolic process","2.49E-6","CDK5RAP1|NAMPT|CDADC1|ABCB7|PSMB7|DCPS|THRA|CAD|HPX|AKR1B1|PSMB4|TLR3|EZH2|KARS1|TMLHE|CYP1A2|WARS1|NTRK3|PNP|SOAT1|PI4KB|IRAK1|UCK1|ALOX5|EIF2S2|PLA2G2D|AKR1C3|IDI1|RFC4|PRKAR1A|CDKL4|CYP1A1|CYP19A1|THRB|EBNA1BP2|TOP2A|ADK|SNW1|AKT1|ACLY|CPSF1|RAD51|HARS2|MED19|NR1H2","128","400|247|457|478|256|487|274|499|463|283|259|292|220|316|490|331|325|496|250|472|418|295|475|358|481|361|286|466|373|403|448|337|310|277|460|268|346|439|301|394|433|379|319|415|412","7.93E-10","","GO:0044237","0.8258911847285747","0"
"5522","41","GO Molecular Function","","Catalytic activity","5.68E-6","HDAC7|CDK5RAP1|NAMPT|PRSS16|MMP8|CDADC1|PSMB7|DCPS|CAD|AKR1B1|PSMB4|EZH2|METAP2|KARS1|TMLHE|CYP1A2|WARS1|NTRK3|PNP|HSD11B1|SOAT1|PI4KB|IRAK1|UCK1|ALOX5|PLA2G2D|AKR1C3|PITRM1|IDI1|RFC4|PRKAR1A|CDKL4|CYP1A1|CYP19A1|KDM4E|TOP2A|ADK|AKT1|ACLY|RAD51|HARS2","128","217|400|247|436|454|457|256|487|499|283|259|220|484|316|490|331|325|496|250|352|472|418|295|475|358|361|286|442|466|373|403|448|337|310|430|268|346|301|394|379|319","1.15E-9","","GO:0003824","0.7731069922067516","0"
"6033","42","GO Molecular Function","","Ion binding","1.11E-5","HDAC7|NID2|CDK5RAP1|MMP8|CDADC1|ABCB7|KIF11|SLC6A4|THRA|CAD|HPX|PGR|METAP2|KARS1|TMLHE|CYP1A2|WARS1|NTRK3|PNP|PI4KB|IRAK1|UCK1|ALOX5|EIF2S2|PLA2G2D|AKR1C3|PITRM1|IDI1|RFC4|PRKAR1A|CDKL4|CYP1A1|CYP19A1|THRB|KDM4E|TOP2A|ADK|AKT1|ACLY|RAD51|HARS2|NR1H2","128","217|409|400|454|457|478|265|445|274|499|463|307|484|316|490|331|325|496|250|418|295|475|358|481|361|286|442|466|373|403|448|337|310|277|430|268|346|301|394|379|319|412","4.5E-9","","GO:0043167","0.7302229912258875","0"
"6643","44","GO Biological Process","","Nitrogen compound metabolic process","1.47E-5","HDAC7|CDK5RAP1|NAMPT|PRSS16|MMP8|CDADC1|PSMB7|DCPS|THRA|CAD|HPX|AKR1B1|PSMB4|TLR3|EZH2|METAP2|KARS1|TMLHE|CYP1A2|WARS1|NTRK3|PNP|IRAK1|UCK1|EIF2S2|PLA2G2D|AKR1C3|PITRM1|RFC4|CDKL4|CYP1A1|THRB|KDM4E|EBNA1BP2|TOP2A|ADK|SNW1|AKT1|ACLY|CPSF1|RAD51|HARS2|MED19|NR1H2","128","217|400|247|436|454|457|256|487|274|499|463|283|259|292|220|484|316|490|331|325|496|250|295|475|481|361|286|442|373|448|337|277|430|460|268|346|439|301|394|433|379|319|415|412","5.64E-9","","GO:0006807","0.7122433967656454","0"
"1435","18","KEGG Pathways","","Metabolic pathways","1.3E-4","NAMPT|CAD|AKR1B1|EZH2|TMLHE|CYP1A2|PNP|HSD11B1|PI4KB|UCK1|ALOX5|PLA2G2D|AKR1C3|IDI1|CYP1A1|CYP19A1|ADK|ACLY","128","247|499|283|220|490|331|250|352|418|475|358|361|286|466|337|310|346|394","3.78E-7","","hsa01100","0.5727291400029199","0"
