UniProt_ID,Best_Affinity,Mean_Affinity,Std_Dev,Z_Score,Source_Group
Q16288,-8.613,-8.6,0.018,-1.6338782829887697,Group A (Exploratory)
P55263,-8.448,-8.39,0.038,-1.4739583338490636,Group A (Exploratory)
Q9UBF8,-8.315,-8.3,0.01,-1.3450531627243292,Group A (Exploratory)
Q02750,-7.586,-7.58,0.001,-0.6384977510707157,Group A (Exploratory)
Q96GD4,-7.452,-7.44,0.008,-0.508623368133014,Group A (Exploratory)
Q07869,-7.384,-7.37,0.012,-0.4427169648511957,Group A (Exploratory)
P09237,-7.267,-7.09,0.248,-0.329319182733949,Group A (Exploratory)
P49327,-7.1,-7.09,0.014,-0.16746080996830554,Group A (Exploratory)
O60341,-6.986,-6.98,0.004,-0.05697066328996268,Group A (Exploratory)
P06493,-6.984,-6.98,0.002,-0.055032239664027045,Group A (Exploratory)
P14625,-6.982,-6.98,0.007,-0.05309381603809142,Group A (Exploratory)
O60885,-6.817,-6.81,0.007,0.10682613310161555,Group A (Exploratory)
P08235,-6.351,-6.35,0.004,0.5584788379446668,Group A (Exploratory)
P49336,-6.018,-6.0,0.011,0.8812263716629847,Group A (Exploratory)
P01106,-4.54,-4.43,0.079,2.3137214312295713,Group A (Exploratory)
