UniProt_ID,Best_Affinity,Mean_Affinity,Std_Dev,Z_Score,Source_Group
Q14112,-9.042,-9.04,0.002,-1.9082619831976109,Group B (Mechanism)
Q9NVH6,-9.03,-9.02,0.007,-1.8996683204895861,Group B (Mechanism)
P35249,-8.694,-8.67,0.019,-1.6590457646649057,Group B (Mechanism)
Q96C86,-8.663,-8.66,0.007,-1.6368454693358425,Group B (Mechanism)
P10644,-8.428,-8.42,0.009,-1.4685529079703663,Group B (Mechanism)
Q99436,-8.387,-8.38,0.007,-1.439191227051283,Group B (Mechanism)
P02790,-8.387,-8.35,0.033,-1.439191227051283,Group B (Mechanism)
P28070,-8.385,-8.38,0.002,-1.4377589499332784,Group B (Mechanism)
Q5JRX3,-8.355,-8.34,0.01,-1.416274793163218,Group B (Mechanism)
Q9HA47,-8.352,-8.34,0.007,-1.4141263774862118,Group B (Mechanism)
P52732,-8.328,-8.32,0.008,-1.3969390520701626,Group B (Mechanism)
Q9BWV3,-8.303,-8.2,0.098,-1.3790355880951128,Group B (Mechanism)
Q12962,-8.271,-7.98,0.338,-1.3561191542070479,Group B (Mechanism)
P23381,-8.265,-8.25,0.023,-1.3518223228530355,Group B (Mechanism)
P11388,-8.252,-8.25,0.003,-1.3425125215860092,Group B (Mechanism)
Q9UJX5,-8.247,-7.84,0.286,-1.3389318287909986,Group B (Mechanism)
P51617,-8.242,-8.23,0.01,-1.335351135995989,Group B (Mechanism)
P27708,-8.193,-8.19,0.001,-1.3002603466048888,Group B (Mechanism)
Q96SZ6,-8.189,-8.17,0.022,-1.297395792368881,Group B (Mechanism)
Q9UNK4,-8.18,-8.17,0.01,-1.2909505453378625,Group B (Mechanism)
