UniProt_ID	PDB_ID	Chains_of_interest	Original_Source
A0A8I5KQE6	A0A8I5KQE6	All	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/AF-A0A8I5KQE6-F1-model_v4.cif
A0JLT2	7EMF	S	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/7EMF.cif
A4D1S5	A4D1S5	All	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/AF-A4D1S5-F1-model_v4.cif
A6NED2	A6NED2	All	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/AF-A6NED2-F1-model_v4.cif
A6NKT7	A6NKT7	All	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/AF-A6NKT7-F1-model_v4.cif
A8K7I4	A8K7I4	All	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/AF-A8K7I4-F1-model_v4.cif
E9PAV3	E9PAV3	All	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/AF-E9PAV3-F1-model_v4.cif
O00231	8USB	X	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/8USB.cif
O00232	8USB	W	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/8USB.cif
O00267	8UHG	Z	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/8UHG.cif
O00308	9EQH	A	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/9EQH.cif
O00337	O00337	All	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/AF-O00337-F1-model_v4.cif
O00443	O00443	All	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/AF-O00443-F1-model_v4.cif
O00470	O00470	All	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/AF-O00470-F1-model_v4.cif
O00487	8USB	c	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/8USB.cif
O14503	O14503	All	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/AF-O14503-F1-model_v4.cif
O14561	7OF0	w	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/7OF0.cif
O14735	O14735	All	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/AF-O14735-F1-model_v4.cif
O14745	2KRG	A	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/2KRG.cif
O14818	5LE5	C,Q	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/5LE5.cif
O14862	3RN5	A,B,C,D	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/3RN5.cif
O14976	O14976	All	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/AF-O14976-F1-model_v4.cif
O15042	O15042	All	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/AF-O15042-F1-model_v4.cif
O15067	O15067	All	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/AF-O15067-F1-model_v4.cif
O15379	4A69	A,B	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/4A69.cif
O15392	2QFA	A	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/2QFA.cif
O15442	O15442	All	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/AF-O15442-F1-model_v4.cif
O15455	9LSJ	C	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/9LSJ.cif
O15514	9EHZ	D	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/9EHZ.cif
O15530	3QD0	A	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/3QD0.cif
O43164	O43164	All	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/AF-O43164-F1-model_v4.cif
O43172	8H6L	D	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/8H6L.cif
O43242	8USB	V	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/8USB.cif
O43290	8H6L	D	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/8H6L.cif
O43395	8H6L	E	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/8H6L.cif
O43660	8C6J	J	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/8C6J.cif
O43670	O43670	All	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/AF-O43670-F1-model_v4.cif
O43854	O43854	All	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/AF-O43854-F1-model_v4.cif
O60231	7DVQ	x	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/7DVQ.cif
O60244	7EMF	N	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/7EMF.cif
O60264	8V4Y	W	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/8V4Y.cif
O60306	8C6J	U	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/8C6J.cif
O60346	O60346	All	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/AF-O60346-F1-model_v4.cif
O60412	O60412	All	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/AF-O60412-F1-model_v4.cif
O60506	6KOR	A	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/6KOR.cif
O60508	8C6J	o	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/8C6J.cif
O60566	6TLJ	S	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/6TLJ.cif
O60765	O60765	All	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/AF-O60765-F1-model_v4.cif
O60784	1ELK	A,B	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/1ELK.cif
O60841	8PJ5	0	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/8PJ5.cif
O60942	8P4B	M	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/8P4B.cif
O75027	7VGF	A,B	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/7VGF.cif
O75343	O75343	All	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/AF-O75343-F1-model_v4.cif
O75352	O75352	All	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/AF-O75352-F1-model_v4.cif
O75427	O75427	All	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/AF-O75427-F1-model_v4.cif
O75445	O75445	All	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/AF-O75445-2-F1-model_v4.cif
O75533	7Q4O	A	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/7Q4O.cif
O75643	8H6L	B	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/8H6L.cif
O75694	7EYQ	A	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/7EYQ.cif
O75787	6WLW	V	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/6WLW.cif
O75818	6AHV	A	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/6AHV.cif
O75821	8PPL	A	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/8PPL.cif
O75908	7N6Q	A,B,C,D	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/7N6Q.cif
O75909	5EFQ	B,D	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/5EFQ.cif
O76075	O76075	All	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/AF-O76075-F1-model_v4.cif
O94761	5LST	A	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/5LST.cif
O94925	8GWR	A,B	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/8GWR.cif
O95136	7T6B	R	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/7T6B.cif
O95153	O95153	All	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/AF-O95153-F1-model_v4.cif
O95218	O95218	All	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/AF-O95218-F1-model_v4.cif
O95243	O95243	All	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/AF-O95243-F1-model_v4.cif
O95256	3WO4	C	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/3WO4.cif
O95347	9F5W	A	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/9F5W.cif
O95411	O95411	All	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/AF-O95411-F1-model_v4.cif
