UniProt_ID,Best_Affinity,Mean_Affinity,Std_Dev,Z_Score,Source_Group
P04798,-9.476,-9.45,0.023,-2.4703080775800865,Group A (Exploratory)
P05177,-9.199,-9.02,0.257,-2.2018364053879713,Group A (Exploratory)
P15121,-9.08,-9.08,0.003,-2.086500199644789,Group A (Exploratory)
P23977,-8.891,-8.89,0.003,-1.903319166993852,Group A (Exploratory)
P43490,-8.847,-8.83,0.016,-1.8606738472232631,Group A (Exploratory)
B2RXH2,-8.661,-8.66,0.001,-1.68040045001123,Group A (Exploratory)
P55055,-8.645,-8.63,0.008,-1.6648930610037431,Group A (Exploratory)
Q16288,-8.613,-8.6,0.018,-1.6338782829887697,Group A (Exploratory)
P10827,-8.599,-8.44,0.113,-1.6203093176072194,Group A (Exploratory)
Q99720,-8.577,-8.56,0.01,-1.598986657721925,Group A (Exploratory)
P50579,-8.531,-8.5,0.027,-1.5544029143254012,Group A (Exploratory)
P55263,-8.448,-8.39,0.038,-1.4739583338490636,Group A (Exploratory)
P42330,-8.424,-8.41,0.023,-1.4506972503378326,Group A (Exploratory)
P08172,-8.367,-8.31,0.073,-1.3954521769986623,Group A (Exploratory)
Q15910,-8.35,-8.35,0.001,-1.3789755761782065,Group A (Exploratory)
P00491,-8.333,-8.32,0.012,-1.3624989753577523,Group A (Exploratory)
Q9UBF8,-8.315,-8.3,0.01,-1.3450531627243292,Group A (Exploratory)
P43116,-8.276,-8.17,0.116,-1.3072539020185805,Group A (Exploratory)
P08483,-8.226,-8.22,0.005,-1.2587933113701855,Group A (Exploratory)
P22894,-8.196,-8.17,0.019,-1.2297169569811468,Group A (Exploratory)
