UniProt_ID,Run_0,Run_1,Run_2,Mean_Affinity,Std_Dev,Best_Affinity,Replicates
P04798,-9.42,-9.459,-9.476,-9.45,0.023,-9.476,3
P15121,-9.072,-9.08,-9.077,-9.08,0.003,-9.08,3
P05177,-9.199,-9.197,-8.652,-9.02,0.257,-9.199,3
P23977,-8.884,-8.889,-8.891,-8.89,0.003,-8.891,3
P43490,-8.847,-8.808,-8.821,-8.83,0.016,-8.847,3
B2RXH2,-8.66,-8.661,-8.659,-8.66,0.001,-8.661,3
P55055,-8.645,-8.626,-8.63,-8.63,0.008,-8.645,3
Q16288,-8.606,-8.571,-8.613,-8.6,0.018,-8.613,3
Q99720,-8.565,-8.577,-8.552,-8.56,0.01,-8.577,3
P50579,-8.493,-8.466,-8.531,-8.5,0.027,-8.531,3
P10827,-8.348,-8.599,-8.373,-8.44,0.113,-8.599,3
P42330,-8.424,-8.374,-8.42,-8.41,0.023,-8.424,3
P55263,-8.372,-8.448,-8.362,-8.39,0.038,-8.448,3
Q15910,-8.348,-8.35,-8.35,-8.35,0.001,-8.35,3
P00491,-8.333,-8.31,-8.304,-8.32,0.012,-8.333,3
P08172,-8.209,-8.367,-8.36,-8.31,0.073,-8.367,3
Q9UBF8,-8.315,-8.292,-8.297,-8.3,0.01,-8.315,3
P08483,-8.215,-8.224,-8.226,-8.22,0.005,-8.226,3
P09917,-8.185,-8.175,-8.17,-8.18,0.006,-8.185,3
P22894,-8.196,-8.168,-8.15,-8.17,0.019,-8.196,3
P43116,-8.223,-8.007,-8.276,-8.17,0.116,-8.276,3
Q8WUI4,-8.146,-8.136,-8.121,-8.13,0.01,-8.146,3
Q63380,-8.138,-8.117,-8.13,-8.13,0.009,-8.138,3
P28845,-8.085,-8.093,-8.098,-8.09,0.005,-8.098,3
P06401,-8.063,-8.078,-8.071,-8.07,0.006,-8.078,3
P31645,-8.068,-8.079,-8.026,-8.06,0.023,-8.079,3
P11511,-8.058,-8.038,-8.057,-8.05,0.009,-8.058,3
P10828,-8.029,-8.032,-8.035,-8.03,0.002,-8.035,3
P31749,-8.014,-8.016,-8.032,-8.02,0.008,-8.032,3
P35610,-8.011,-7.982,-7.974,-7.99,0.016,-8.011,3
P42345,-7.996,-7.975,-7.979,-7.98,0.009,-7.996,3
P08238,-7.806,-8.069,-8.058,-7.98,0.121,-8.069,3
P20309,-7.963,-7.967,-7.968,-7.97,0.002,-7.968,3
O60502,-7.958,-7.957,-7.955,-7.96,0.001,-7.958,3
P04066,-7.929,-7.945,-7.916,-7.93,0.012,-7.945,3
P08684,-7.884,-7.905,-7.903,-7.9,0.009,-7.905,3
P49682,-7.892,-7.872,-7.898,-7.89,0.011,-7.898,3
Q6GI75,-8.002,-8.007,-7.597,-7.87,0.192,-8.007,3
O70536,-7.877,-7.875,-7.829,-7.86,0.022,-7.877,3
P51686,-7.869,-7.837,-7.835,-7.85,0.016,-7.869,3
Q05769,-7.871,-7.863,-7.749,-7.83,0.056,-7.871,3
P08183,-7.776,-7.858,-7.821,-7.82,0.034,-7.858,3
P23975,-7.835,-7.817,-7.81,-7.82,0.011,-7.835,3
P46098,-7.827,-7.817,-7.821,-7.82,0.004,-7.827,3
P17612,-7.808,-7.811,-7.809,-7.81,0.001,-7.811,3
P21802,-7.8,-7.803,-7.815,-7.81,0.006,-7.815,3
Q13133,-7.816,-7.793,-7.822,-7.81,0.012,-7.822,3
P00915,-7.904,-7.631,-7.886,-7.81,0.125,-7.904,3
Q01959,-7.788,-7.8,-7.826,-7.8,0.016,-7.826,3
P11712,-7.785,-7.804,-7.799,-7.8,0.008,-7.804,3
O60760,-7.804,-7.82,-7.79,-7.8,0.012,-7.82,3
P68400,-7.742,-7.747,-7.766,-7.75,0.01,-7.766,3
O00311,-7.737,-7.752,-7.753,-7.75,0.007,-7.753,3
P30542,-7.768,-7.742,-7.712,-7.74,0.023,-7.768,3
P19971,-7.726,-7.747,-7.725,-7.73,0.01,-7.747,3
P32320,-7.721,-7.681,-7.715,-7.71,0.018,-7.721,3
P53582,-7.701,-7.662,-7.707,-7.69,0.02,-7.707,3
P48067,-7.675,-7.674,-7.688,-7.68,0.006,-7.688,3
P42858,-7.669,-7.679,-7.666,-7.67,0.006,-7.679,3
P34972,-7.663,-7.664,-7.657,-7.66,0.003,-7.664,3
P35270,-7.645,-7.646,-7.64,-7.64,0.003,-7.646,3
P29475,-7.58,-7.663,-7.595,-7.61,0.036,-7.663,3
Q03181,-7.599,-7.608,-7.606,-7.6,0.004,-7.608,3
P35354,-7.596,-7.568,-7.595,-7.59,0.013,-7.596,3
P0DMS8,-7.604,-7.569,-7.574,-7.58,0.015,-7.604,3
Q02750,-7.584,-7.586,-7.583,-7.58,0.001,-7.586,3
P03372,-7.563,-7.579,-7.57,-7.57,0.007,-7.579,3
P15538,-7.607,-7.603,-7.471,-7.56,0.063,-7.607,3
P13866,-7.53,-7.612,-7.533,-7.56,0.038,-7.612,3
O14757,-7.56,-7.558,-7.575,-7.56,0.008,-7.575,3
P08908,-7.549,-7.54,-7.548,-7.55,0.004,-7.549,3
Q06187,-7.536,-7.521,-7.534,-7.53,0.007,-7.536,3
P31751,-7.514,-7.509,-7.525,-7.52,0.007,-7.525,3
P07948,-7.514,-7.51,-7.506,-7.51,0.003,-7.514,3
P33535,-7.505,-7.491,-7.509,-7.5,0.008,-7.509,3
P10275,-7.5,-7.484,-7.497,-7.49,0.007,-7.5,3
Q96RI1,-7.563,-7.355,-7.564,-7.49,0.098,-7.564,3
Q07889,-7.491,-7.491,-7.502,-7.49,0.005,-7.502,3
Q60492,-7.47,-7.47,-7.471,-7.47,0.0,-7.471,3
P29274,-7.468,-7.464,-7.473,-7.47,0.004,-7.473,3
Q9R0C9,-7.5,-7.483,-7.434,-7.47,0.028,-7.5,3
Q9NWZ3,-7.602,-7.561,-7.259,-7.47,0.153,-7.602,3
