UniProt_ID,PDB_ID,Pocket_ID,Druggability_Score,Target_Chains,Pocket_Touching,center_x,center_y,center_z,size_x,size_y,size_z
A0A8I5KQE6,A0A8I5KQE6,2,0.305,All,All,10.622,10.972,-4.063,16.381,16.266,14.12
A0JLT2,7EMF,50,0.979,S,"J,N,S",238.766,89.951,342.317,37.254,35.784,26.73
A4D1S5,A4D1S5,13,0.67,All,All,-3.623,-19.906,5.5,22.763,19.121,22.877
A6NED2,A6NED2,32,0.176,All,All,6.276,-1.982,11.256,16.824,17.171,16.701
A6NKT7,A6NKT7,103,0.92,All,All,20.164,-18.938,-12.66,19.58,25.919,29.182
A8K7I4,A8K7I4,47,0.713,All,All,-39.601,-12.987,-24.798,26.51,24.8,18.618
E9PAV3,E9PAV3,46,0.49,All,All,-10.645,-32.192,36.382,17.33,20.785,15.486
O00231,8USB,213,0.056,X,"X,W",84.27,173.237,115.131,33.861,20.994,18.35
O00232,8USB,252,0.816,W,W,128.376,121.968,72.747,25.047,20.615,17.778
O00267,8UHG,182,0.967,Z,"Z,L,C,B,A,K",229.842,204.38,174.744,23.139,22.633,34.324
O00308,9EQH,2,0.891,A,A,11.988,1.541,-27.632,23.639,18.952,16.399
O00337,O00337,3,0.97,All,All,14.939,3.23,18.613,20.038,26.166,21.204
O00443,O00443,101,0.165,All,All,4.73,11.279,-0.053,22.43,16.729,16.552
O00470,O00470,16,0.721,All,All,10.852,-1.938,-10.317,22.345,18.591,27.289
O00487,8USB,402,0.877,c,"c,D",135.279,176.436,145.714,18.146,29.058,25.861
O14503,O14503,21,0.318,All,All,15.948,-6.069,-37.262,15.357,23.204,17.971
O14561,7OF0,3,0.584,w,"w,v",102.117,138.634,146.556,19.806,15.547,20.154
O14735,O14735,14,0.94,All,All,5.758,-1.416,2.96,29.674,19.15,31.775
O14745,2KRG,19,0.257,A,A,10.747,-20.131,-9.544,19.35,16.094,16.743
O14818,5LE5,122,0.738,"C,Q","C,K,D",20.987,185.651,2.666,21.338,27.211,21.491
O14862,3RN5,18,0.703,"A,B,C,D","C,N,M",14.714,-7.858,23.993,32.188,38.243,27.367
O14976,O14976,78,0.529,All,All,-19.232,-2.945,9.678,19.768,28.567,25.115
O15042,O15042,91,0.898,All,All,14.766,29.408,11.472,18.171,20.723,25.265
O15067,O15067,2,0.455,All,All,1.683,-8.37,17.384,19.918,17.166,22.713
O15379,4A69,1,0.612,"A,B","C,B,A,D",27.426,61.124,16.692,53.054,69.559,40.788
O15392,2QFA,3,0.142,A,"B,A",32.304,24.476,7.846,16.17,17.651,18.124
O15442,O15442,11,0.369,All,All,9.928,0.077,-16.658,17.533,25.327,22.465
O15455,9LSJ,1,1.0,C,C,175.061,164.55,57.338,30.082,20.665,29.556
O15514,9EHZ,1,0.465,D,"G,D",240.58,133.997,169.768,20.456,14.77,18.274
O15530,3QD0,2,0.651,A,A,-38.805,16.807,14.944,21.561,17.882,19.274
O43164,O43164,41,0.547,All,All,9.776,4.979,-24.39,18.769,19.462,15.977
O43172,8H6L,281,0.126,D,"C,D",293.166,270.398,289.148,19.413,17.832,24.491
O43242,8USB,321,0.234,V,"C,U,V",118.822,231.138,177.494,31.385,28.439,33.339
O43290,8H6L,293,0.533,D,"C,D",251.448,348.618,329.092,33.857,40.481,32.434
O43395,8H6L,419,0.126,E,"E,F",293.166,270.398,289.148,19.413,17.832,24.491
O43660,8C6J,4,0.777,J,"J,A",286.036,277.013,281.174,18.76,20.767,28.03
O43670,O43670,8,0.697,All,All,-13.354,-9.025,13.147,20.846,17.982,23.556
O43854,O43854,2,0.54,All,All,3.53,8.6,-4.778,26.118,25.88,20.991
O60231,7DVQ,215,0.927,x,x,349.719,382.237,424.907,25.136,24.106,24.229
O60244,7EMF,404,0.979,N,"J,N,S",238.761,89.951,342.317,37.244,35.784,26.73
O60264,8V4Y,53,0.918,W,W,209.644,112.788,150.453,18.495,22.819,21.866
O60306,8C6J,82,0.166,U,U,336.446,301.009,119.008,27.953,17.462,22.548
