UniProt_ID,PDB_ID,Pocket_ID,Druggability_Score,Target_Chains,Pocket_Touching,center_x,center_y,center_z,size_x,size_y,size_z
B2RXH2,2W2I,2,0.793,"A,B,C",B,34.072,11.779,48.647,24.985,18.718,17.2
O00311,4F9C,1,0.754,A,A,15.981,21.782,55.591,29.822,28.587,21.946
O00329,9L3R,56,0.914,A,A,33.746,12.902,31.746,21.361,20.47,17.416
O00763,3FF6,1,0.969,"A,B,C,D","C,D",-2.981,2.84,58.413,47.45,51.851,49.454
O14684,4AL0,4,0.936,A,A,20.867,-0.719,0.812,18.058,22.014,22.855
O14744,6V0P,2,0.854,A,A,-49.321,-61.938,-29.274,16.456,22.997,21.521
O14746,7QXA,99,0.905,A,A,128.995,189.199,144.039,29.146,25.248,22.308
O14757,3TKI,1,0.6,A,A,16.162,-3.892,13.0,27.031,22.208,24.423
O14965,2J4Z,1,0.953,"A,B",A,42.525,45.302,19.838,27.292,28.596,31.293
O15151,O15151,20,0.242,All,All,9.3,10.01,9.697,19.119,17.447,22.662
O43570,9F2O,19,0.889,"A,B,C,D","A,B",5.96,0.756,-4.184,28.064,44.166,28.105
O60341,5L3D,35,0.841,A,A,10.375,71.806,90.654,25.131,27.646,20.841
O60502,5M7U,1,0.898,"A,B","A,B",18.62,4.892,29.165,19.547,19.281,21.316
O60760,7JR8,1,0.876,"A,B",B,8.992,-23.2,56.697,25.379,23.691,16.964
O60885,6DNE,1,0.746,"A,B",A,-15.046,9.956,-9.236,19.904,16.801,24.311
O70536,O70536,42,0.991,All,All,-8.347,-14.711,3.839,31.417,18.13,26.196
O75460,6W39,57,0.989,"A,B","A,B",97.052,33.538,70.082,33.54,36.416,28.053
O75907,6VYI,74,0.994,"A,B",A,124.787,116.696,112.909,23.098,32.277,28.272
O95271,5JHQ,104,0.66,"A,B,C,D","A,D",53.262,14.106,28.383,23.26,19.82,23.092
O95835,O95835,51,0.553,All,All,32.455,7.454,1.197,21.17,18.408,17.817
P00338,5W8J,4,0.679,"A,B,C,D",C,-7.318,3.341,22.836,18.69,17.922,21.999
P00374,4M6J,13,0.673,A,A,9.831,20.074,-11.706,20.776,17.741,14.98
P00390,2AAQ,8,0.712,A,A,-49.455,29.398,68.861,17.622,19.77,16.942
P00491,4EAR,1,0.894,"A,B,C","A,C",-17.098,31.059,-49.613,18.673,19.528,19.668
P00492,5HIA,56,0.404,"A,B,C,D",B,9.181,-15.852,-68.627,19.899,18.12,18.304
P00519,5MO4,1,0.956,A,A,-44.486,23.08,-19.348,22.487,23.725,18.333
P00533,7SYD,84,0.8,"A,B","B,D",164.419,168.767,130.306,27.813,23.273,24.001
P00734,8RTN,3,0.686,"H,L","I,H",-31.185,23.895,-12.384,19.441,20.398,17.655
P00742,9CLI,215,0.449,Z,Z,50.155,-8.774,120.204,16.12,16.146,19.215
P00749,7ZRR,1,0.737,A,A,-17.038,-40.07,-2.318,22.803,24.241,19.345
P00915,7Q0D,1,0.997,"A,B","A,B",40.792,-3.727,-7.989,49.282,30.882,39.06
P00918,3K34,4,0.638,A,A,-11.073,-6.345,37.716,18.782,16.234,19.788
P01106,P01106,1,0.482,All,All,-36.07,-7.35,24.232,20.073,27.504,23.959
P01116,7ROV,3,0.494,"A,B",A,-28.234,-2.09,13.016,17.371,18.279,16.015
P03372,2OCF,1,0.8,A,A,47.288,-14.358,2.807,19.661,18.039,18.65
P03956,1SU3,45,0.413,"A,B",A,47.872,-3.879,66.534,16.191,15.315,14.718
P04049,7Z38,143,0.844,C,"A,C",129.425,176.024,156.997,28.574,18.476,19.464
P04062,9FB2,1,0.349,A,A,-18.235,-13.002,8.456,16.84,19.809,19.382
P04066,7PLS,19,0.834,"A,B,C,D","A,C",167.718,149.44,149.44,21.275,19.466,18.868
P04150,7KW7,156,0.501,F,"A,B,E,F",182.351,178.978,164.463,20.044,29.144,26.352
P04183,2ORV,1,0.822,"A,B","A,B",61.318,11.94,52.642,25.904,28.049,18.413
P04626,7MN5,69,0.814,B,"A,B",155.686,161.236,151.549,27.556,37.713,24.144
P04629,7N3T,16,0.279,"A,B",B,-42.156,40.015,60.991,23.147,20.297,20.568
P04798,4I8V,2,0.948,"A,B,C,D",D,-15.731,88.232,-61.71,22.64,18.186,21.013
P04818,3GH0,11,0.412,A,A,66.776,-13.712,30.286,16.056,16.961,15.309
P05067,8KF4,2,0.947,"A,B,C,D,E,F","A,F,B,D,E,C",117.85,130.161,120.627,17.071,17.865,29.304
P05129,P05129,55,0.061,All,All,-8.065,-7.786,-34.141,35.888,25.443,26.294
P05164,6BMT,3,0.552,A,"A,B",14.943,26.306,136.441,14.504,16.554,14.788
P05177,2HI4,1,0.886,A,A,2.506,17.856,19.86,20.845,19.469,17.716
P05412,P05412,17,0.819,All,All,-27.595,-5.526,31.178,16.39,19.517,20.915
P05771,8SE3,5,0.613,A,A,28.404,-32.873,20.215,17.345,18.239,18.556
P05979,2OYU,1,0.947,P,P,21.408,50.552,11.647,21.515,18.497,23.656
P06239,6PDJ,1,0.949,A,A,1.653,-2.713,-6.808,25.132,23.994,20.825
P06401,P06401,1,0.822,All,All,2.009,-1.014,-13.88,22.093,18.979,16.233
P06493,6GU2,1,0.795,A,A,327.923,214.44,191.889,18.414,22.106,24.745
P07333,4LIQ,3,0.735,E,"E,H,L",-11.189,-27.734,-18.084,27.683,24.25,20.839
P07384,7X79,3,0.728,A,A,-36.55,13.86,50.927,23.646,15.603,17.959
P07451,3UYQ,7,0.24,A,A,52.038,0.511,47.823,12.175,11.959,13.409
P07477,8ZIY,80,0.772,C,"A,C,D",124.378,118.863,105.149,22.823,21.55,19.743
P07607,4EZ8,4,0.601,A,A,21.343,-20.33,8.416,17.286,18.533,18.313
P07711,8GX2,1,0.969,"A,B","A,B",14.512,-18.524,23.392,27.21,28.523,20.647
P07858,3PBH,1,0.485,A,A,20.103,25.897,13.674,20.268,17.82,16.933
P07900,7KRJ,2,0.966,"A,B",B,99.336,114.63,143.966,25.231,23.394,21.599
P07948,3A4O,1,0.742,X,X,-1.504,-21.822,-19.086,16.278,17.259,19.372
P07949,6Q2O,5,0.56,"E,F",E,117.702,85.775,172.263,16.161,16.576,14.22
