UniProt_ID,Run_0,Run_1,Run_2,Mean_Affinity,Std_Dev,Best_Affinity,Replicates
Q14112,-9.042,-9.036,-9.04,-9.04,0.002,-9.042,3
Q9NVH6,-9.014,-9.022,-9.03,-9.02,0.007,-9.03,3
P35249,-8.694,-8.651,-8.66,-8.67,0.019,-8.694,3
Q96C86,-8.661,-8.663,-8.647,-8.66,0.007,-8.663,3
P10644,-8.417,-8.405,-8.428,-8.42,0.009,-8.428,3
Q99436,-8.371,-8.387,-8.383,-8.38,0.007,-8.387,3
P28070,-8.38,-8.385,-8.384,-8.38,0.002,-8.385,3
P02790,-8.387,-8.353,-8.307,-8.35,0.033,-8.387,3
Q5JRX3,-8.355,-8.334,-8.335,-8.34,0.01,-8.355,3
Q9HA47,-8.341,-8.335,-8.352,-8.34,0.007,-8.352,3
P52732,-8.308,-8.328,-8.314,-8.32,0.008,-8.328,3
P23381,-8.265,-8.216,-8.264,-8.25,0.023,-8.265,3
P11388,-8.245,-8.252,-8.249,-8.25,0.003,-8.252,3
P51617,-8.218,-8.242,-8.226,-8.23,0.01,-8.242,3
Q9BWV3,-8.226,-8.067,-8.303,-8.2,0.098,-8.303,3
P27708,-8.19,-8.191,-8.193,-8.19,0.001,-8.193,3
Q96SZ6,-8.14,-8.189,-8.184,-8.17,0.022,-8.189,3
Q9UNK4,-8.156,-8.18,-8.16,-8.17,0.01,-8.18,3
A0JLT2,-8.152,-8.13,-8.162,-8.15,0.013,-8.162,3
Q15046,-8.128,-8.156,-8.116,-8.13,0.017,-8.156,3
Q13907,-8.117,-8.121,-8.122,-8.12,0.002,-8.122,3
O60412,-8.133,-8.122,-8.118,-8.12,0.006,-8.133,3
P20042,-8.139,-8.113,-8.123,-8.12,0.011,-8.139,3
P55735,-8.102,-8.108,-8.112,-8.11,0.004,-8.112,3
Q99848,-8.116,-8.092,-8.126,-8.11,0.014,-8.126,3
P59544,-8.1,-8.163,-8.079,-8.11,0.036,-8.163,3
Q5MAI5,-8.077,-8.136,-8.084,-8.1,0.026,-8.136,3
Q6QNK2,-8.084,-8.094,-8.074,-8.08,0.008,-8.094,3
Q9NQE7,-8.066,-8.081,-8.089,-8.08,0.01,-8.089,3
P49590,-8.085,-8.077,-8.083,-8.08,0.003,-8.085,3
Q10570,-8.072,-8.075,-8.059,-8.07,0.007,-8.075,3
Q06609,-8.098,-8.062,-8.052,-8.07,0.02,-8.098,3
P53396,-8.051,-8.068,-8.072,-8.06,0.009,-8.072,3
Q13573,-8.045,-8.045,-8.053,-8.05,0.004,-8.053,3
O75027,-8.032,-8.036,-8.058,-8.04,0.011,-8.058,3
O15455,-8.04,-8.041,-8.041,-8.04,0.0,-8.041,3
Q99969,-7.968,-7.966,-8.112,-8.02,0.068,-8.112,3
O60306,-8.023,-7.993,-8.026,-8.01,0.015,-8.026,3
Q6ZWT7,-8.024,-7.941,-8.024,-8.0,0.039,-8.024,3
Q02338,-8.022,-7.996,-7.978,-8.0,0.018,-8.022,3
P51148,-8.011,-7.998,-8.002,-8.0,0.005,-8.011,3
Q9NVP1,-7.98,-7.986,-7.998,-7.99,0.007,-7.998,3
Q14562,-7.983,-8.008,-7.989,-7.99,0.011,-8.008,3
Q12962,-8.271,-8.165,-7.507,-7.98,0.338,-8.271,3
P36542,-7.962,-7.955,-7.957,-7.96,0.003,-7.962,3
O75908,-7.945,-8.003,-7.941,-7.96,0.028,-8.003,3
Q9UL12,-7.898,-7.966,-7.985,-7.95,0.037,-7.985,3
P23921,-7.953,-7.952,-7.952,-7.95,0.0,-7.953,3
Q13098,-7.935,-7.973,-7.941,-7.95,0.017,-7.973,3
O14561,-7.942,-7.942,-7.934,-7.94,0.004,-7.942,3
O00308,-7.923,-7.917,-7.905,-7.92,0.007,-7.923,3
P62875,-8.018,-7.688,-8.031,-7.91,0.159,-8.031,3
Q8NGZ4,-7.904,-7.897,-7.888,-7.9,0.007,-7.904,3
Q9H9Y6,-7.884,-7.893,-7.89,-7.89,0.004,-7.893,3
Q9Y4A5,-7.888,-7.882,-7.856,-7.88,0.014,-7.888,3
Q9H6X2,-7.87,-7.855,-7.872,-7.87,0.008,-7.872,3
P60842,-7.856,-7.849,-7.912,-7.87,0.028,-7.912,3
Q14674,-7.867,-7.87,-7.856,-7.86,0.006,-7.87,3
Q9NW64,-7.862,-7.862,-7.859,-7.86,0.001,-7.862,3
P27694,-7.874,-7.84,-7.858,-7.86,0.014,-7.874,3
