#clustering method	cluster number	cluster color	hex color	gene count	protein name	protein identifier	protein description
MCL	1	Red	#ff0000	4	KIF11	9606.ENSP00000260731	Kinesin-like protein KIF11; Motor protein required for establishing a bipolar spindle during mitosis. Required in non-mitotic cells for transport of secretory proteins from the Golgi complex to the cell surface ; Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family. BimC subfamily.
MCL	1	Red	#ff0000	4	RAD51	9606.ENSP00000493712	DNA repair protein RAD51 homolog 1; Plays an important role in homologous strand exchange, a key step in DNA repair through homologous recombination (HR). Binds to single and double-stranded DNA and exhibits DNA-dependent ATPase activity. Catalyzes the recognition of homology and strand exchange between homologous DNA partners to form a joint molecule between a processed DNA break and the repair template. Binds to single-stranded DNA in an ATP-dependent manner to form nucleoprotein filaments which are essential for the homology search and strand exchange. Part of a PALB2-scaffolded HR  [...] 
MCL	1	Red	#ff0000	4	RFC4	9606.ENSP00000376272	Replication factor C subunit 4; The elongation of primed DNA templates by DNA polymerase delta and epsilon requires the action of the accessory proteins proliferating cell nuclear antigen (PCNA) and activator 1. This subunit may be involved in the elongation of the multiprimed DNA template.
MCL	1	Red	#ff0000	4	TOP2A	9606.ENSP00000411532	DNA topoisomerase 2-alpha; Control of topological states of DNA by transient breakage and subsequent rejoining of DNA strands. Topoisomerase II makes double- strand breaks. Essential during mitosis and meiosis for proper segregation of daughter chromosomes. May play a role in regulating the period length of ARNTL/BMAL1 transcriptional oscillation (By similarity).
MCL	2	Brown	#ffa365	3	ADK	9606.ENSP00000443965	Adenosine kinase; ATP dependent phosphorylation of adenosine and other related nucleoside analogs to monophosphate derivatives. Serves as a potential regulator of concentrations of extracellular adenosine and intracellular adenine nucleotides; Belongs to the carbohydrate kinase PfkB family.
MCL	2	Brown	#ffa365	3	NAMPT	9606.ENSP00000222553	Nicotinamide phosphoribosyltransferase; Catalyzes the condensation of nicotinamide with 5- phosphoribosyl-1-pyrophosphate to yield nicotinamide mononucleotide, an intermediate in the biosynthesis of NAD. It is the rate limiting component in the mammalian NAD biosynthesis pathway. The secreted form behaves both as a cytokine with immunomodulating properties and an adipokine with anti-diabetic properties, it has no enzymatic activity, partly because of lack of activation by ATP, which has a low level in extracellular space and plasma. Plays a role in the modulation of circadian clock fun [...] 
MCL	2	Brown	#ffa365	3	PNP	9606.ENSP00000354532	Purine nucleoside phosphorylase; The purine nucleoside phosphorylases catalyze the phosphorolytic breakdown of the N-glycosidic bond in the beta- (deoxy)ribonucleoside molecules, with the formation of the corresponding free purine bases and pentose-1-phosphate.
MCL	3	Dark Golden Rod	#b28e00	3	HARS2	9606.ENSP00000494965	Histidine--tRNA ligase, mitochondrial; Mitochondrial aminoacyl-tRNA synthetase that catalyzes the ATP-dependent ligation of histidine to the 3'-end of its cognate tRNA, via the formation of an aminoacyl-adenylate intermediate (His-AMP).
MCL	3	Dark Golden Rod	#b28e00	3	KARS1	9606.ENSP00000325448	Lysine--tRNA ligase; Catalyzes the specific attachment of an amino acid to its cognate tRNA in a 2 step reaction: the amino acid (AA) is first activated by ATP to form AA-AMP and then transferred to the acceptor end of the tRNA. When secreted, acts as a signaling molecule that induces immune response through the activation of monocyte/macrophages. Catalyzes the synthesis of the signaling molecule diadenosine tetraphosphate (Ap4A), and thereby mediates disruption of the complex between HINT1 and MITF and the concomitant activation of MITF transcriptional activity.
MCL	3	Dark Golden Rod	#b28e00	3	WARS1	9606.ENSP00000347495	Tryptophan--tRNA ligase, cytoplasmic; Isoform 1, isoform 2 and T1-TrpRS have aminoacylation activity while T2-TrpRS lacks it. Isoform 2, T1-TrpRS and T2-TrpRS possess angiostatic activity whereas isoform 1 lacks it. T2-TrpRS inhibits fluid shear stress-activated responses of endothelial cells. Regulates ERK, Akt, and eNOS activation pathways that are associated with angiogenesis, cytoskeletal reorganization and shear stress- responsive gene expression.
